id,created_at,text
1368915472142401540,2021-03-08 13:24:16,"Starbase, Texas https://t.co/mt4IpqqmjF"
1368895133500936199,2021-03-08 12:03:27,@Harbles It’s all hot air in the end haha
1368894470163369986,2021-03-08 12:00:49,"@Teslarati @KlenderJoey Still many fine details to address, but the final product will be fantastic. There’s nothing else even close."
1368886781542682624,2021-03-08 11:30:16,"@WholeMarsBlog @klwtts Haha true. Yet, still, so much dignity is ascribed to horses!"
1368867769211514881,2021-03-08 10:14:43,Carnot efficiency of the Universe?
1368845550687117312,2021-03-08 08:46:25,"@engineers_feed Ultimately, yes"
1368693859203436548,2021-03-07 22:43:39,"Great band, too bad they broke up https://t.co/VQm7HhHw2M"
1368344522413903872,2021-03-06 23:35:31,"@garyblack00 Update probably in Q2. Cybertruck will be built at Giga Texas, so focus right now is on getting that beast built."
1368343806823657474,2021-03-06 23:32:40,"@westcoastbill The $1400 is mostly good imo (UBI lite), as the people get to choose how the money is spent, but the… https://t.co/uOecCJuO6q"
1368337660838748162,2021-03-06 23:08:15,"@arctechinc Should be very soon. Many subtle differences between US &amp; Canada roads, so harder than it seems."
1368333982610251776,2021-03-06 22:53:38,@LarryKellogg @arctechinc The Tesla FSD computer started shipping in volume in Q2 2019. 2020 cars should all have F… https://t.co/3w2weJToWO
1368332350602420225,2021-03-06 22:47:09,"Availability varies by region due to regulatory approval delays and/or Tesla internal development &amp; testing. 

Note… https://t.co/pJcaroozd5"
1368329387733512193,2021-03-06 22:35:23,"Due to high levels of demand for FSD Beta, adding “Download Beta” button to Service section of car display in ~10 d… https://t.co/OMj1xwuwMt"
1368058884837928970,2021-03-06 04:40:30,Doge spelled backwards is Egod
1368050830797021187,2021-03-06 04:08:29,@WholeMarsBlog Beta V8.3 has literally ~1000 improvements. Will take time to QA internally before release probably in two or three weeks.
1368050094012960768,2021-03-06 04:05:34,@SomePaleGamer 🤣🤣
1368048822534868997,2021-03-06 04:00:31,@PPathole @TimSweeneyEpic This was way past leg loads. They got squashed hard.
1368017749851598850,2021-03-06 01:57:02,"If you want the Tesla Full Self-Driving Beta downloaded to your car, let us know. Doubling beta program size now wi… https://t.co/Uwq5wkR9Ty"
1368016992326709251,2021-03-06 01:54:02,@chicago_glenn @TimSweeneyEpic @TrevorMahlmann Starhopper is an old timer who has seen a lot of things!
1368016384458858500,2021-03-06 01:51:37,"@TimSweeneyEpic Thrust was low despite being commanded high for reasons unknown at present, hence hard touchdown. W… https://t.co/4BbPumfM3N"
1368014448426807296,2021-03-06 01:43:55,@TimSweeneyEpic Was super fun tbh haha
1367979877496807426,2021-03-05 23:26:33,@Jason Or is this just fantasy?
1367967590597816320,2021-03-05 22:37:43,🙄
1367785830111047680,2021-03-05 10:35:28,"SN10 is in Valhalla now
https://t.co/dHy4tDVGnI"
1367784992961531905,2021-03-05 10:32:09,Cybervikings of Mars
1367726375008804865,2021-03-05 06:39:13,"@WholeMarsBlog Tesla AI, both hardware &amp; software, is deeply underestimated"
1367617336757338112,2021-03-04 23:25:56,@RenataKonkoly @skorusARK 🤣🤣
1367611973697818628,2021-03-04 23:04:38,@skorusARK Tesla &amp; Ford are the only American carmakers not to have gone bankrupt out of 1000’s of car startups. Pr… https://t.co/iWd8PzhmMi
1367407392963575815,2021-03-04 09:31:42,RT @SpaceX: Deployment of 60 Starlink satellites confirmed https://t.co/ta7iXyr7BK
1367386635101437952,2021-03-04 08:09:13,RT @SpaceX: T-30 minutes until launch of Starlink. Webcast will go live ~15 minutes before liftoff → https://t.co/bJFjLCzWdK
1367330165144059906,2021-03-04 04:24:49,@Jason cgi irl @spacex
1367273722734911491,2021-03-04 00:40:32,"@PPathole @SpaceX SpaceX team is doing great work! One day, the true measure of success will be that Starship flights are commonplace."
1367272937632497664,2021-03-04 00:37:25,"@Erdayastronaut @SpaceX RIP SN10, honorable discharge"
1367272378766614529,2021-03-04 00:35:12,Starship SN10 landed in one piece! https://t.co/lO4AF47MaN
1367213114228318209,2021-03-03 20:39:42,Launch abort on slightly conservative high thrust limit. Increasing thrust limit &amp; recycling propellant for another flight attempt today.
1367205667321171968,2021-03-03 20:10:07,5 mins to Starship test flight attempt
1367082108863320070,2021-03-03 11:59:08,March 3rd
1367074939317157888,2021-03-03 11:30:39,Starship launch tomorrow. Window opens at 9am.
